word,emo,polarity
泪目,touching,pos
破防,touching,pos
哭了,touching,pos
泪崩,touching,pos
刀了,neg,neg
寄,neg,neg
拉胯,neg,neg
无语,neg,neg
尬,neg,neg
笑死,laugh,pos
哈哈,laugh,pos
hh,laugh,pos
笑哭,laugh,pos
[笑哭],laugh,pos
[doge],laugh,pos
好看,praise,pos
太好看,praise,pos
可爱捏,praise,pos
可爱,praise,pos
上头,praise,pos
666,praise,pos
绝了,praise,pos
社畜,self_mock,neu
打工人,self_mock,neu
散修观礼,self_mock,neu
散修,self_mock,neu
太痛了,touching,pos
感动,touching,pos
太感动了,touching,pos
想哭,touching,pos
好想哭,touching,pos
我哭死,touching,pos
哭死,touching,pos
都给我哭,touching,pos
猛男落泪,touching,pos
热泪盈眶,touching,pos
泪流满面,touching,pos
破大防,touching,pos
[大哭],touching,pos
[委屈],touching,pos
[喜极而泣],touching,pos
帅,praise,pos
太帅了,praise,pos
好帅,praise,pos
帅爆了,praise,pos
帅炸了,praise,pos
封神,praise,pos
封神了,praise,pos
这集封神,praise,pos
神回,praise,pos
太燃了,praise,pos
燃起来了,praise,pos
经费燃烧,praise,pos
顶级,praise,pos
顶,praise,pos
爽,praise,pos
太爽了,praise,pos
战斗爽,praise,pos
头皮发麻,praise,pos
[打call],praise,pos
[星星眼],praise,pos
[给心心],praise,pos
[点赞],praise,pos
[支持],praise,pos
[喜欢],praise,pos
[抱拳],praise,pos
牛逼,praise,pos
牛批,praise,pos
牛b,praise,pos
牛x,praise,pos
牛啊,praise,pos
太牛了,praise,pos
nb,praise,pos
yyds,praise,pos
神作,praise,pos
绷不住,laugh,pos
难绷,laugh,pos
笑不活了,laugh,pos
笑不活,laugh,pos
笑麻了,laugh,pos
[滑稽],laugh,pos
[吃瓜],laugh,pos
[呲牙],laugh,pos
[偷笑],laugh,pos
卡炸了,neg,neg
卡死,neg,neg
卡爆,neg,neg
太短了,neg,neg
不够看,neg,neg
离谱,neg,neg
抽象,neg,neg
看哭,touching,pos
看哭了,touching,pos
哭了,touching,pos
泪流满面,touching,pos
热泪盈眶,touching,pos
泪盈眶,touching,pos
意难平,touching,pos
遗憾,touching,pos
难过,touching,pos
难受,touching,pos
心酸,touching,pos
破防,touching,pos
回忆杀,touching,pos
爷青回,touching,pos
唏嘘,touching,pos
爽,praise,pos
太爽了,praise,pos
爽死,praise,pos
战斗爽,praise,pos
帅,praise,pos
太帅了,praise,pos
帅炸,praise,pos
牛逼,praise,pos
nb,praise,pos
yyds,praise,pos
炸裂,praise,pos
震撼,praise,pos
热血,praise,pos
高能,praise,pos
压迫感,praise,pos
紧张,praise,pos
刺激,praise,pos
特效,praise,pos
经费,praise,pos
不容易,touching,pos
等到了,touching,pos
终于等到,touching,pos
终于等到了,touching,pos
终于来了,touching,pos
喜极而泣,touching,pos
喜极,touching,pos
泪盈眶,touching,pos
热泪盈眶,touching,pos
泪流满面,touching,pos
值了,praise,pos
满足,praise,pos
圆梦,praise,pos
恭喜,praise,pos
恭贺,praise,pos
[大哭],touching,pos
[委屈],touching,pos
[喜极而泣],touching,pos
[打call],praise,pos
[星星眼],praise,pos
[给心心],praise,pos
[点赞],praise,pos
[支持],praise,pos
[鼓掌],praise,pos
[抱拳],praise,pos
[喜欢],praise,pos
[笑哭],laugh,pos
[doge],laugh,pos
[滑稽],laugh,pos
[吃瓜],laugh,pos
[嗑瓜子],laugh,pos
[呲牙],laugh,pos
[大笑],laugh,pos
[辣眼睛],neg,neg
[生气],neg,neg
[抓狂],neg,neg
卡了,neg,neg
卡住,neg,neg
卡顿,neg,neg
卡死,neg,neg
卡爆,neg,neg
太短了,neg,neg
不够看,neg,neg
