episode_id,minute,emo_like,emo_touching,other,quote_ritual,ritual_call,role_label,viewing_status
156,-1,2.0,3.0,2.0,0.0,5.0,1.0,72.0
156,0,1290.0,4.0,143.0,5.0,70.0,0.0,4854.0
156,1,353.0,6.0,4429.0,18.0,170.0,4.0,13826.0
156,2,132.0,0.0,703.0,10.0,114.0,3.0,880.0
156,3,255.0,8.0,477.0,20.0,217.0,5.0,237.0
156,4,308.0,49.0,809.0,20.0,179.0,11.0,205.0
156,5,176.0,19.0,484.0,14.0,196.0,8.0,84.0
156,6,163.0,2.0,20701.0,7.0,73.0,8.0,50.0
156,7,606.0,212.0,739.0,39.0,38034.0,18.0,146.0
156,8,328.0,89.0,410.0,54.0,2789.0,18.0,26.0
156,9,259.0,11.0,14596.0,12.0,391.0,14445.0,27.0
156,10,346.0,12460.0,565.0,12.0,302.0,37.0,16344.0
156,11,370.0,28268.0,624.0,28.0,651.0,19.0,47.0
156,12,28085.0,293.0,785.0,69.0,29996.0,19.0,48.0
156,13,347.0,89.0,453.0,51.0,1524.0,7.0,22.0
156,14,12522.0,42.0,552.0,33.0,184.0,8.0,11.0
156,15,15087.0,15.0,717.0,19.0,105.0,23.0,10.0
156,16,12310.0,6.0,21009.0,15.0,65.0,12.0,11.0
156,17,17092.0,2.0,851.0,8.0,20811.0,87.0,5.0
156,18,221.0,3.0,413.0,9.0,44.0,45.0,14.0
156,19,195.0,3.0,4448.0,12.0,31.0,26.0,7.0
156,20,80.0,3.0,6423.0,9.0,122.0,8.0,6.0
156,21,15.0,2.0,20.0,0.0,28.0,1.0,2.0
