rpid,reply_count,content
205036551056,110,人生如棋，落子无悔，经典名句出现。 青竹小轩的友人们各自迎来新的人生阶段，甚至连韩劳模都有了蓄胡熟男造型，一声道友尽沧桑啊！
205036740528,82,今天是我戒的第100天！百日筑基，念头通达[星星眼]
205044286720,81,又看了一遍，真的好看 受不了[笑哭][笑哭][笑哭]
205036738400,66,十年悟道，十年凡人。 由喜化悲，由死悟生。 韩立化凡虽然没有轰轰烈烈、紧凑刺激，却是你我凡人最真实的人生—— 等等？！你们居然都背着我偷偷结丹了？？？？！ 啊？？？？？？？？？？！ [凡人修仙传收藏集_我太难了]
205044812096,52,原来小龙，小秦，何仙师都是韩立本人不同抉择下的人生啊
205038186896,41,各位道友，今天是我生日，还请各位道友给个祝福，求个念头通达[OK]
206370436704,31,红尘劫的设计真的太用心了。 小龙，小秦，何仙师都和韩立一样，没有背景，天赋平平。 小龙选择了守护着父母家人，对应着没有上山修仙的韩立，或许能够安安稳稳地做一介无名散修。 小秦选择了和凡人结为伴侣，对应着没有抛下彩环的韩立，或许能拥有一段刻骨铭心的仙凡爱情。 何仙师选择了泊四海觅大道，对应着没有绿瓶加持的韩立，或许苦心问道蹉跎半生后同归于尘土。 三种选择，对应不同的结局。若问他们，会后悔自己的选择吗？我想何仙师的那句话给出了回应。 韩立在他们身上看见了不同世界线的自己，所以他教导小龙努力修行，帮助小秦夫妇治病，鼓励何仙师挺过生死。因为自己淋过雨，所以也想为别人撑伞。 但与此同时，韩立也深深明白了大道的艰辛。一路坎坷谁能懂，遗憾有千重。既然选择了踏上修仙之路，经历了那么多生死和离别，就更不应该轻易放弃。 人生如棋，落子无悔。 经此一劫，韩立问道之心愈加坚定，方能实现今后的境界突破，这恰恰也是红尘劫的应有之义啊。
205051453488,29,我只能说单从文戏的角度看，这集是最强的，而且领先了国内百分之九十九的国漫
205056887344,28,打戏决定下限，文戏决定上限。修的是仙，但讲的永远是人。
205058381488,28,这集成功让我放弃修仙的念头，何仙师让我悟了，挚爱贤妻，三五好友，这样百年归于尘土岂不美哉，我原来一直过着神仙道都羡慕的生活，感谢制作组。
205046448864,28,小龙，小秦，何仙师其实都是韩立本人在不同抉择下的人生啊，若是没有小绿瓶就算他没被夺舍他伪灵根的他最多也就是成了小龙，后来要是取了墨彩环大概就是小秦了，最后要是没有结丹也只会是如何仙师一般身死道消了。[墨镜][委屈]
205039036704,27,看的泪流满面[大哭]……这文戏的深度，对人生的感悟，生老病死，生死离别～～人生如棋，落子无悔，道友你走的每一步可曾念头通达？
205053897872,25,26岁，身处考研培训基地食堂，谢谢《凡人修仙传》 纵使天资远差于人，纵使前路一片茫然，人生如棋，落子无悔，无论输赢，但求竭尽全力，一条路走到底
205040488352,25,凡人能摊上你们这个制作组真是三生有幸
205042851232,24,32，老男人，看了两遍，哭了两遍
205050913344,24,这集超神了，国漫能做年番的剧，能达到这集的高度的基本没有。
205053229296,24,所以其实韩是喜欢墨彩环的？只是因为仙凡有别所以没有回应她？
205046133904,20,韩大哥，没有灵根真的无法修行吗？带我走可以吗？ 谢谢你救了我那么多次。 谢谢你陪我一起看烟火。 谢谢你出现在我微不足道的生命里。。。
205042079792,20,答应我，就这么稳扎稳打的用心做下去，更个20来年[doge]，咱也过过人家死火海的感觉，反正小说量大管饱随便做。
205041608176,18,老头晚年感叹用一生去追求虚无缥缈的仙道，真的有意义吗？ 但最后也给出了自已内心的答案：纵使前路渺茫，但落子无悔！
